order_id,purchase_timestamp,customer_state,dominant_product_category,item_value,actual,predicted,error_type
374289395a111a64a05644b1f59ef07d,2018-06-21 08:45:30,DF,health_beauty,122.99,0,1,false_positive
ead4584d779958e7605fe628d3f253f0,2018-06-21 09:08:19,CE,watches_gifts,155.0,0,1,false_positive
a77da241d61b2939dba10220b807d732,2018-06-21 09:08:51,CE,construction_tools_construction,498.0,0,1,false_positive
19b99fd79d81fab77d8b7ba4f7a5c799,2018-06-21 09:31:04,MA,health_beauty,66.99,0,1,false_positive
b552bf4c093b6c4804fa08eaee94a786,2018-06-21 09:36:30,BA,housewares,17.9,1,0,false_negative
d3ec40731fe6a0b60cef4f782e7be160,2018-06-21 09:53:20,ES,health_beauty,35.0,0,1,false_positive
63197f17fd0ed6f37890886192ccdece,2018-06-21 09:58:24,RJ,housewares,99.18,0,1,false_positive
1def5208ea4cb393260ab333be753296,2018-06-21 11:15:18,BA,consoles_games,40.0,1,0,false_negative
ba0bb30d772cfeebd2419935f389cb2e,2018-06-21 12:24:00,MT,furniture_decor,380.0,0,1,false_positive
1fb42df5f777c1b9bf5790d888e15075,2018-06-21 12:26:37,SP,health_beauty,122.99,0,1,false_positive
7c7a36eb998ff964a38dcca485c7bb24,2018-06-21 12:43:37,RJ,telephony,49.99,0,1,false_positive
ef3845484f82e3b6eed4a579e3c1063d,2018-06-21 12:44:54,MS,housewares,100.0,0,1,false_positive
18a9c1f948e1b0500785565ef4041b85,2018-06-21 14:18:04,SC,health_beauty,23.99,0,1,false_positive
9bfe486cba6ba9af52af7bfe86ff9859,2018-06-21 14:35:23,ES,bed_bath_table,50.0,0,1,false_positive
48300f948ed1d70ff6e5f733e30e5816,2018-06-21 14:37:50,GO,health_beauty,122.99,0,1,false_positive
09a1022dc99a8046b87235a846062035,2018-06-21 14:42:11,RJ,bed_bath_table,17.9,0,1,false_positive
d12c3951e6642988af6886426a27cf1d,2018-06-21 15:00:50,BA,perfumery,289.9,0,1,false_positive
f81315a9288555238f4f14f53669cc4d,2018-06-21 15:09:17,CE,health_beauty,110.32,0,1,false_positive
502b576f4d6a7091842c83677e13013d,2018-06-21 15:45:52,PB,computers_accessories,129.0,0,1,false_positive
fa73021d06471826a5740f3188024ce2,2018-06-21 16:06:56,RS,auto,479.99,0,1,false_positive
385ee6bd014c3ca0b3be6215f97349d0,2018-06-21 16:49:59,SP,bed_bath_table,79.9,0,1,false_positive
45940e007848875eb181bfcf14ea51a1,2018-06-21 17:10:24,PB,construction_tools_construction,226.9,0,1,false_positive
746bf6116b629631553f1a94a3054139,2018-06-21 17:18:14,BA,furniture_bedroom,80.0,0,1,false_positive
4530ebf341c28451b56c66fc4d70f8eb,2018-06-21 17:27:55,BA,cool_stuff,180.0,1,0,false_negative
eb3f33b48e3328516737e05964ed19a0,2018-06-21 17:41:07,BA,sports_leisure,74.99,0,1,false_positive
9a3cdb1a52eced27df0e93f49f863014,2018-06-21 18:50:58,SP,construction_tools_construction,249.9,0,1,false_positive
4dbc1d5924e76da8223695d76a439653,2018-06-21 19:42:08,RJ,health_beauty,119.9,0,1,false_positive
cb7c837f8c5240816176dc115c21a746,2018-06-21 20:27:51,RN,furniture_decor,150.0,0,1,false_positive
7e85dd5c64bfd481355a0662f9f9f777,2018-06-21 20:57:36,MG,furniture_decor,20.89,0,1,false_positive
9aba5a261ecd7b4c4d324ee1ab55cae7,2018-06-21 20:57:43,SP,construction_tools_construction,22.9,0,1,false_positive
258d79062482663262a46174dc7d38f8,2018-06-21 21:44:04,ES,furniture_decor,24.9,0,1,false_positive
4460329ef6417ef6f526adae51f4a7ad,2018-06-21 21:57:58,ES,auto,69.9,0,1,false_positive
3aebf099badf8a95a8c1831fc2373eda,2018-06-21 22:40:05,PB,watches_gifts,513.0,0,1,false_positive
966aa877aacb92e9ba70a4c8243945ea,2018-06-21 22:53:55,CE,electronics,209.0,0,1,false_positive
e5ab0577510f6cf1d376b14deab49b24,2018-06-22 03:14:17,SC,computers_accessories,67.99,0,1,false_positive
d98078af880d3b6f9254693dade63983,2018-06-22 03:33:41,RJ,watches_gifts,269.9,0,1,false_positive
fe456fd2155744fb9a7180989d61c30d,2018-06-22 08:03:22,GO,furniture_decor,90.0,0,1,false_positive
1a5eb6a556b01596eb34c82baa91e160,2018-06-22 08:24:36,SC,auto,499.0,0,1,false_positive
759ef6eef7b8279539f81a2663c2f500,2018-06-22 08:59:23,PA,sports_leisure,84.9,0,1,false_positive
3e10dede8b18c0d08dde472a87faeed1,2018-06-22 10:42:46,ES,audio,14.9,0,1,false_positive
1c4bd62e77652a8a266a0b0f1b49b0da,2018-06-22 12:01:37,MA,telephony,48.99,0,1,false_positive
634a0c518ed370679d33e5e25ab3725b,2018-06-22 12:08:45,PB,watches_gifts,816.0,0,1,false_positive
8dbc85d1447242f3b127dda390d56e19,2018-06-22 12:23:19,PB,computers,4590.0,0,1,false_positive
201c5ac9debe4c98c375ceaa9172cc87,2018-06-22 13:20:17,AL,furniture_decor,70.0,0,1,false_positive
4f4713c9b445b523bc53cb7a472b7a99,2018-06-22 14:16:58,ES,health_beauty,95.0,0,1,false_positive
e02da1929daa15fa492dc605bdad4896,2018-06-22 14:39:56,SC,sports_leisure,89.0,0,1,false_positive
05691e7046cf3a798bfce39b35377b78,2018-06-22 15:27:17,SP,construction_tools_construction,169.0,0,1,false_positive
3a598997a4e99228c41bffa61709b1ef,2018-06-22 15:56:33,RJ,stationery,9.9,0,1,false_positive
20dd46ec82721cbf25cc9ef228943bf5,2018-06-22 15:59:42,RJ,bed_bath_table,39.0,0,1,false_positive
2a6d1505d28e5a6956a20dcdaa6e0464,2018-06-22 18:25:32,PE,health_beauty,64.99,0,1,false_positive
0509b3b20635c8d54544dc048d95318b,2018-06-22 19:08:21,RJ,telephony,24.99,0,1,false_positive
252ccbf5764c53809f99daee8815db09,2018-06-22 19:23:38,RJ,electronics,13.65,0,1,false_positive
f24616037f41893b85ebeff4018c6933,2018-06-22 20:20:38,ES,electronics,36.5,0,1,false_positive
26792a0dac4a86edaee496f4690de6a5,2018-06-22 20:25:31,RS,health_beauty,35.0,1,0,false_negative
248aebbd996d29fa9e2c5fbe3d4bfd38,2018-06-22 21:14:45,SC,computers_accessories,67.99,0,1,false_positive
3b43489e5e595593e63470f9e524d325,2018-06-22 21:24:55,PA,health_beauty,27.3,0,1,false_positive
2d8a0bc4abbb7bbb3a420f2219f02f93,2018-06-22 21:39:34,RJ,audio,14.9,0,1,false_positive
38bec8cea5e040be0ab60e3415a27572,2018-06-22 22:17:39,ES,health_beauty,661.0,0,1,false_positive
4ca31d816ef051b337c5b2ecdbd58b77,2018-06-22 23:18:46,RJ,auto,27.9,0,1,false_positive
a2c95702477a50387ec1b32968bd9d40,2018-06-23 07:41:49,GO,baby,394.9,0,1,false_positive
af19170492290aa8663d820e73d09524,2018-06-23 10:02:24,RJ,auto,19.0,0,1,false_positive
926b3a8fc7e78353dc3cb0ba1a06113a,2018-06-23 10:24:29,CE,housewares,330.0,0,1,false_positive
cda39e972551602661cd5e8908ee82b5,2018-06-23 10:35:04,ES,fashion_bags_accessories,32.0,0,1,false_positive
6704e7402168366c804f2bc1cf9c2163,2018-06-23 11:04:44,PE,watches_gifts,119.0,0,1,false_positive
5fbf74426609c2706727d1e358652e36,2018-06-23 11:11:56,RJ,health_beauty,149.8,0,1,false_positive
71588428f9341618a05bf69e1aba5128,2018-06-23 12:20:30,RJ,office_furniture,146.94,0,1,false_positive
d09ffbeb0a9095250893b3da1ce411e6,2018-06-23 12:53:04,PB,health_beauty,330.0,0,1,false_positive
6f7485cc8c52e561303a255ddec82ba0,2018-06-23 13:21:24,MA,health_beauty,122.99,0,1,false_positive
8e2b743537ff14af3c1a7713b7d4241f,2018-06-23 14:01:30,RS,health_beauty,199.99,0,1,false_positive
4bb9c2002502ca416276dc1ff5efb1b3,2018-06-23 14:53:03,BA,audio,14.9,0,1,false_positive
5a6e89bbd9436596a727dee37c59a9da,2018-06-23 15:25:59,PI,watches_gifts,55.0,0,1,false_positive
674f118582ce68f137f8a355527a1edc,2018-06-23 15:41:38,RJ,drinks,35.0,0,1,false_positive
5351f503c54ee55d453e848ab9b922cc,2018-06-23 16:35:10,MS,construction_tools_lights,230.0,0,1,false_positive
0573f0fe44a09808d06e716ae1a478ed,2018-06-23 16:55:16,MG,construction_tools_construction,118.89,0,1,false_positive
62a4fdf762d5c41efd4bb2418f236e9f,2018-06-23 16:58:48,RJ,watches_gifts,119.9,0,1,false_positive
73c67371d275029330214fcd2b439fcd,2018-06-23 17:11:17,PA,health_beauty,65.5,0,1,false_positive
68eb31d36231dd3fc97baf5cb6f73103,2018-06-23 17:24:16,SC,furniture_decor,151.98,0,1,false_positive
33fc60c6e27e2f4a0c98e95b5c0bceb9,2018-06-23 17:53:46,ES,furniture_decor,158.99,0,1,false_positive
6248558af11709756b658f25195656ce,2018-06-23 18:05:23,ES,furniture_decor,159.0,0,1,false_positive
3c042ee4b8b597c3d265a93a21bbf99f,2018-06-23 18:22:41,SP,health_beauty,459.0,0,1,false_positive
cf099a8029312a7454ff616d5fb6b33a,2018-06-23 18:50:54,MA,auto,59.0,0,1,false_positive
72ee4a26e767e55282ac10e63c7b1227,2018-06-23 19:24:21,MA,auto,60.0,0,1,false_positive
a454983d73207579d61a09fb40ea7ae7,2018-06-23 20:06:28,RJ,health_beauty,39.99,0,1,false_positive
36a924d21368a46d4ed120b8adb1dc3d,2018-06-23 20:42:39,RS,auto,649.49,1,0,false_negative
f99194329617b84446bef86322b39b74,2018-06-23 20:57:42,ES,telephony,21.99,0,1,false_positive
15513623d17d4fbfb1fc871c176e9f75,2018-06-23 20:59:56,SP,housewares,39.98,1,0,false_negative
eeae538503aa251c060d45ea2ef3fefa,2018-06-23 22:04:10,SC,bed_bath_table,53.0,0,1,false_positive
7fe55ddc45e39704cbd15147aba7b23f,2018-06-23 22:04:53,CE,audio,59.0,0,1,false_positive
3ea393b6b5c82e62aadb0bab29892bbf,2018-06-23 22:09:17,SP,construction_tools_construction,140.8,0,1,false_positive
9ca4233f35ec6058f6642a8124c8f9d2,2018-06-23 22:56:52,MA,health_beauty,122.99,0,1,false_positive
42df71f66e653cbe9e87913834e59873,2018-06-23 23:00:04,BA,health_beauty,31.9,0,1,false_positive
2313fc14bc3187d0691674f1016242d9,2018-06-23 23:28:03,MA,telephony,21.99,0,1,false_positive
